Designator,Mid X,Mid Y,Rotation,Layer
3.3V1,144.9,-88.5,0.0,top
5V1,141.1,-88.5,180.0,top
C1,133.0,-100.25,0.0,top
C2,137.25,-94.3875,270.0,top
CCW1,140.1,-93.5,180.0,top
CW1,143.9,-93.5,0.0,top
J1-2,144.27,-99.5,90.0,top
OUT1,143.2,-96.4,0.0,top
PGO1,138.0,-90.5,0.0,top
R1,133.5,-88.1625,270.0,top
R2,131.7,-88.175,270.0,top
U1,132.328,-95.0,90.0,top
U2,152.5,-95.0,0.0,top
U3,132.5,-75.0,90.0,top
